speaker_id,pos,ortho,phone,loan,contains_geminate
72,副詞,まず,マズ,マズ,mazu,mazu,N,S,C
72,名詞,発表,ハッピョー,ハッピョー,happyoo,happyoo,N,G,C
72,助詞,は,ワ,ワ,wa,wa,N,S,C
72,名詞,最初,サイショ,サイショ,saiSo,saiSo,N,S,C
72,助詞,に,ニ,ニ,Mi,Mi,N,S,C
72,形状詞,簡単,カンタン,カンタン,kantaN,kantaN,N,S,C
72,助動詞,に,ニ,ニ,Mi,Mi,N,S,C
72,名詞,エコーロケーション,エコーロケーション,エコーロケーション,ekoorokeeSoN,ekoorokeeSoN,L,S,C
72,名詞,機能,キノー,キノー,kinoo,kinoo,N,S,C
72,助詞,に,ニ,ニ,Mi,Mi,N,S,C
72,動詞,つい,ツイ,ツイ,tsui,tsui,N,S,C
72,助詞,て,テ,テ,te,te,N,S,C
72,名詞,説明,セツメー,セツメー,setsumee,setsumee,N,S,C
72,動詞,いたし,イタシ,イタシ,itaSi,itaSi,N,S,C
72,助動詞,ます,マス,マス,masu,masu,N,S,C
72,連体詞,その,ソノ,ソノ,sono,sono,N,S,C
72,名詞,後,ゴ,ゴ,go,go,N,S,C
72,代名詞,これ,コレ,コレ,kore,kore,N,S,C
72,助詞,まで,マデ,マデ,made,made,N,S,C
72,動詞,行なっ,オコナッ,オコナッ,okonaQ,okonaQ,N,G,C
72,助詞,て,テ,テ,te,te,N,S,C
72,動詞,き,キ,キ,ki,ki,N,S,C
72,助動詞,まし,マシ,マシ,maSi,maSi,N,S,C